file,count,w,w_list,st,build,prop,ub
ID_from_BN_0_w28d6_limid,1,26,[26],8.412810802459717,22.528826236724854,2.0812828540802,43.86144822957813
ID_from_BN_0_w29d6_limid,2,22,"[22, 1]",1.1992220878601074,13.13898515701294,0.773195743560791,44.78857584141981
ID_from_BN_0_w32d11_limid,3,31,"[31, 1]",8.578075408935547,17.149133682250977,2.244525909423828,81.73885205312845
ID_from_BN_0_w33d11_limid,4,34,"[34, 1]",15.052455425262451,22.700318336486816,3.096879720687866,86.59838110618907
ID_from_BN_14w42d6_limid,5,33,[33],11.227190017700195,35.27336096763611,4.2636308670043945,43.61424367087787
ID_from_BN_14w57d12_limid,6,46,"[46, 1]",18.270557641983032,60.77276873588562,5.548797845840454,91.86911418266232
ID_from_BN_78_w18d3_limid,7,15,[15],0.6191227436065674,3.349987745285034,0.04724407196044922,22.797601752191646
ID_from_BN_78_w19d3_limid,8,17,"[17, 0]",0.8011629581451416,6.975519180297852,0.1519639492034912,23.280402573970527
ID_from_BN_78_w23d6_limid,9,17,[17],2.2828752994537354,3.660317897796631,0.23713445663452148,45.205935643312614
ID_from_BN_78_w24d6_limid,10,25,[25],1.1356866359710693,19.783263206481934,2.8560798168182373,46.0787835568032
mdp1-4_2_2_5_limid,12,5,"[1, 1, 4, 5, 5, 5]",0.5985972881317139,0.3404388427734375,0.015311002731323242,3.7373008695814494
mdp10-32_3_8_4_limid,11,42,"[12, 4, 5, 3, 4, 3, 5, 31, 42, 41]",21.619382858276367,104.21102476119995,35.72597026824951,33.38868226243422
mdp2-8_3_4_5_limid,13,10,"[3, 3, 2, 7, 10, 10, 10]",2.369783878326416,1.2488582134246826,0.10523724555969238,12.197174655866736
mdp3-10_3_5_10_limid,14,14,"[6, 10, 3, 3, 7, 11, 14, 14, 13, 13, 14, 14, 13, 14]",25.675452947616577,32.54730844497681,4.628232002258301,31.0849560474689
mdp4-10_3_5_10_limid,15,14,"[7, 4, 12, 13, 13, 13, 13, 13, 13, 14, 14]",26.58072304725647,6.507471799850464,0.37707066535949707,32.725625579590066
mdp5-16_3_8_10_limid,16,21,"[7, 4, 5, 5, 5, 2, 5, 19, 20, 21, 21, 21, 21, 20, 20, 20]",74.20737481117249,516.2051687240601,258.75222539901733,48.98441590778915
mdp6-20_5_5_5_limid,17,29,"[13, 4, 23, 28, 29, 29]",16.448468923568726,45.71769452095032,22.559855937957764,21.126060774174206
mdp7-28_3_6_5_limid,18,41,"[9, 7, 6, 6, 4, 12, 10, 30, 41, 40, 40]",28.979936122894287,152.43009614944458,55.73237061500549,34.89804360300774
mdp8-28_3_6_4_limid,19,41,"[7, 33, 4, 6, 6, 6, 5, 41, 41]",12.060547113418579,87.01773262023926,37.12326240539551,27.774282517303835
mdp9-32_3_8_3_limid,20,45,"[10, 5, 6, 5, 4, 5, 3, 8, 8, 34, 45]",7.34061598777771,68.73281383514404,22.991674661636353,22.293121494491533
pomdp1-4_2_2_2_3_limid,22,11,[11],0.48108935356140137,0.8783004283905029,0.014003992080688477,4.115519147295571
pomdp10-12_7_3_8_4_limid,21,40,"[40, 4, 1, 2, 3, 3, 4, 4, 4]",6.63318657875061,427.6598610877991,371.20739817619324,24.172025982124556
pomdp2-2_2_2_2_3_limid,23,10,[10],0.17950439453125,0.2373490333557129,0.008786201477050781,4.507056852128595
pomdp3-4_4_2_2_3_limid,24,16,[16],0.6234261989593506,1.4546668529510498,0.08034276962280273,3.620544780765321
pomdp4-4_4_2_2_5_limid,25,27,"[27, 3]",1.6614744663238525,5.028470993041992,0.556713342666626,5.744429256294263
pomdp5-6_4_3_5_3_limid,26,18,"[18, 2, 3]",0.8708510398864746,3.308842658996582,0.48449206352233887,9.187092934406158
pomdp6-12_6_2_6_3_limid,27,29,"[29, 4, 6, 5, 6]",2.810195207595825,25.17721915245056,7.347736120223999,14.07327689611431
pomdp7-20_10_2_10_3_limid,28,46,"[46, 6, 8, 8, 6, 7, 8, 3]",8.3113272190094,98.11107015609741,18.15713381767273,30.447446211815315
pomdp8-14_9_3_12_4_limid,29,47,"[47, 4, 3, 5, 4, 5, 5, 5, 5, 8, 11, 11]",9.831047058105469,123.98239970207214,28.436609506607056,39.4851155318244
pomdp9-14_8_3_10_4_limid,30,44,"[44, 5, 5, 3, 5, 5, 4, 4]",8.993693590164185,959.6084995269775,936.5745034217834,32.89518923208612
rand-c20d2o1-01_limid,31,6,[6],0.34285998344421387,0.6877250671386719,0.012249946594238281,170.632002407805
rand-c30d3o1-01_limid,32,11,[11],0.7166538238525391,2.174457550048828,0.022950410842895508,272.711363744372
rand-c30d6o1-01_limid,33,13,"[13, 8]",1.1377949714660645,2.5490329265594482,0.04131960868835449,537.748683324024
rand-c30d9o1-01_limid,34,16,"[16, 7]",3.0543746948242188,2.614832639694214,0.07964038848876953,733.0109907628048
rand-c50d10o1-01_limid,35,23,"[23, 1]",8.76367735862732,7.871270656585693,0.7935283184051514,863.1092396196658
rand-c50d15o1-03_limid,36,27,"[27, 2]",13.432795286178589,8.234931945800781,0.5015361309051514,1241.1550649826775
rand-c50d5o1-01_limid,37,17,[17],4.57506799697876,7.831668853759766,0.262845516204834,428.3748779278253
rand-c70d14o1-01_limid,38,31,"[31, 15]",18.76952362060547,20.48999047279358,2.8753068447113037,1193.463231487682
rand-c70d21o1-01_limid,39,41,"[41, 4]",90.5978856086731,18.02451515197754,2.356428861618042,1731.7046667692364
rand-c70d7o1-01_limid,40,22,[22],8.990132808685303,21.10460901260376,2.3423595428466797,655.9779820240874
